siccd,minimum,maximum,avg,med,std_dev,iqr,skew,kurt
6020,-0.3694736957550049,0.5714285969734192,6.211415920667042e-4,0,0.025681544048303986,0.021652516908943653,0.7253086459035357,19.296297396509416
6021,-0.41902291774749756,0.6986687779426575,6.063216433546148e-4,0,0.02660864475946932,0.02054540067911148,0.963562946691543,31.723936381525974
6022,-0.5903713703155518,0.9711815714836121,6.177122834261448e-4,0,0.02516905400859874,0.019875277299433947,1.2525912789077653,43.67445482780954
6025,-0.1803278625011444,0.3131428360939026,2.734231566454312e-4,0,0.02410277561375423,0.018397299572825432,0.6593751874879307,15.891014059616628
6029,-0.2336217761039734,0.2361251413822174,6.421111372212063e-4,4.544058901956305e-4,0.022545328146788005,0.018636332359164953,0.7311915295798466,20.202673583101557
6030,-0.4082191586494446,0.699999988079071,6.667469063237881e-4,0,0.0250140962100637,0.020577119663357735,0.8527520144660862,29.905903098350016
6035,-0.383157879114151,0.3681318461894989,6.599079915299597e-4,0,0.022075929172106303,0.01721074990928173,0.4411578732786868,20.43524687194864
6036,-0.15995760262012482,0.23507460951805115,6.554445684497028e-4,4.932909505441785e-4,0.01980534985931543,0.017499802634119987,0.3630767255496345,12.177540466232832
6060,-0.104347825050354,0.11538461595773697,0.0011404913898404052,0,0.020440189575372365,0.019853746984153986,0.2670224440667197,6.719188922038988
6710,-0.42265528440475464,0.5086206793785095,5.142958088289232e-4,0,0.027390582191239844,0.025003907270729542,0.38042211343324334,13.426439360952854
6711,-0.4362623989582062,0.6036586165428162,7.33257436316766e-4,0,0.02086322366248568,0.01826111041009426,1.4278067473779288,62.82888357320319
6712,-0.2904851734638214,0.37758612632751465,5.849923284220158e-4,0,0.022576479155210945,0.018160087056457996,0.6154047817592037,18.75383767622689
