Date,B B & T CORP,BANK OF AMERICA CORP,BANK OF NEW YORK MELLON CORP,BANKAMERICA CORP NEW,CHASE MANHATTAN CORP NEW,COMERICA INC,FIFTH THIRD BANCORP,HUNTINGTON BANCSHARES INC,J P MORGAN CHASE & CO,JPMORGAN CHASE & CO,KEYCORP,KEYCORP NEW,M & T BANK CORP,NORTHERN TRUST CORP,P N C BANK CORP,P N C FINANCIAL SERVICES GRP INC,REGIONS FINANCIAL CORP,REGIONS FINANCIAL CORP NEW,STATE STREET BOSTON CORP,STATE STREET CORP,SUNTRUST BANKS INC,USBANCORP INC PA,WELLS FARGO & CO NEW,ZIONS BANCORPORATION
1993Q2,NA,NA,NA,NA,NA,0.5358621073613793,0.4667846018634568,0.5905128294424791,NA,NA,0.7321783510380415,NA,NA,0.6923840496585074,0.6660391458469305,NA,NA,NA,0.46330156937098277,NA,0.5074507811846158,NA,NA,0.30879788481566894
1993Q3,NA,NA,NA,NA,NA,0.2977645355287545,0.08001524693969408,0.26214756267629835,NA,NA,0.4051329105125213,NA,NA,0.9253932460665901,0.5871631730543296,NA,NA,NA,0.912968403284086,NA,0.46909812208984414,0.21081755585146789,NA,0.030840001843953746
1993Q4,NA,NA,NA,NA,NA,0.4920640341559571,0.5166277089015784,0.4889767722047781,NA,NA,0.7088240282912919,NA,NA,0.11208281414281718,0.4079169239371153,NA,NA,NA,0,NA,0.09920067113015718,0.594901586876965,NA,0.08314845112547631
1994Q1,NA,NA,NA,NA,NA,0.886904978092115,0.4104864921587499,0.41637551952273566,NA,NA,NA,NA,NA,0.7277645159406687,0.8521965780519353,NA,NA,NA,0.3579469199253711,NA,0.789122117365381,0.765360551668502,NA,0.5002873988165193
1994Q2,NA,NA,NA,NA,NA,0.4291372643225225,0.25939013209889183,0.5614195936012298,NA,NA,NA,0.9523273477238988,NA,0.004835494768573478,0.6677860375184366,NA,NA,NA,0.4062265879374155,NA,0.5143276062455642,0.6542667268888096,NA,0.21745788038716163
1994Q3,NA,NA,NA,NA,NA,0.3815900333451826,0.4959356802538989,0.33656539944479846,NA,NA,NA,0.5272485226180336,NA,0.30323255324273113,0.7662760975487544,NA,0.24085646177651987,NA,0.38397937903025803,NA,0.24100674139690914,0.39454457414849775,NA,0.2941433277659834
1994Q4,NA,NA,NA,NA,NA,0.9044237350383598,0.5962616681770232,0.7736921476018117,NA,NA,NA,0.5893821187788997,NA,0.5775572914051813,0.5649455362115554,NA,0.07338425556251982,NA,0.33331106115965237,NA,0.40381318120769705,0.9404289012399826,NA,0.2672055175802801
1995Q1,NA,NA,NA,NA,NA,0.7412153767510491,NA,0.3814441330839272,NA,NA,NA,0.2652561780556776,NA,0.6051851781467045,0.9347450343079979,NA,0.27646742860858475,NA,0.6931303955071866,NA,0.5125106167307989,NA,NA,0.0864092924651545
1995Q2,NA,NA,NA,NA,NA,0.9111410125002336,0.46415415922386727,0.2617583107031828,NA,NA,NA,0.4712871157584704,NA,0.8415984298684301,0.8928977504919762,NA,0.6237212912633574,NA,0.40169174478452896,NA,0.7180246686586205,0.9302349098618097,NA,0.002121295109167143
1995Q3,NA,NA,NA,NA,NA,0.26448446541987014,0.09274224913300999,0.661698557045969,NA,NA,NA,0.060858287008101586,NA,0.3474949616389721,NA,NA,0.5411062965723603,NA,0.48242352593586757,NA,0.5949340431269208,0.03268745090571479,NA,0
1995Q4,NA,NA,NA,NA,NA,0.9555758399161352,0.5666463646092339,0.19090042211922487,NA,NA,NA,0.8534914177467341,NA,0.4422359348559811,0.8446150690515642,NA,0.23294445881064074,NA,0.3760809448891581,NA,0.30786829784915815,0.23479081966694848,NA,0.9099996035626716
1996Q1,NA,NA,NA,NA,NA,0.5341716968341643,0.7440503858693479,0.40790690210667246,NA,NA,NA,0.6092973219705375,NA,0.7496032120582128,0.6874524884244982,NA,0.22004812673731666,NA,0.3184952079705007,NA,0.8493386518313645,0.015464078289693872,NA,0.018838049132763546
