comnam,ncusip,cusip_8
FIRST FEDERAL SVGS & LN DEF OH,32018S10,32006W10
FIRST FINANCIAL BANCORP OHIO,32020910,32020910
FIRST FINANCIAL BANKSHARES INC,32020R10,32020R10
FIRST FINANCIAL CORP IN,32021810,32021810
FIRST FINANCIAL HOLDINGS INC NEW,32023E10,84044110
FIRST FINANCIAL NORTHWEST INC,32022K10,32022K10
FIRST HORIZON NATIONAL CORP,32051710,32051710
FIRST INTERNET BANCORP,32055710,32055710
FIRST LONG ISLAND CORP,32073410,32073410
FIRST MERCHANTS CORP,32081710,32081710
FIRST MID ILLINOIS BANCSHRS INC,32086610,32086610
FIRST MIDWEST BANCORP DE,32086710,32086710
FIRST MIDWEST FINANCIAL INC,32087810,59100U10
FIRST NATIONAL CORP ORANGEBURG,32094210,84044110
FIRST NATIONAL LINCOLN CORP ME,33571610,31866P10
FIRST PACTRUST BANCORP INC,33589V10,05990K10
FIRST REPUBLIC BANCORP INC NEW,33615710,76041610
FIRST REPUBLIC BANK S F NEW,33616C10,33616C10
FIRST TENNESSEE NATIONAL CORP,33716210,32051710
FIRST UNITED CORP,33741H10,33741H10
FLUSHING FINANCIAL CORP,34387310,34387310
F N B CORP PA,30252010,30252010
FRANKLIN FINANCIAL NETWORK INC,35352P10,35352P10
FULTON FINANCIAL CORP PA,36027110,36027110
G A B BANCORP,36133410,37386510
GERMAN AMERICAN BANCORP,37386510,37386510
GERMAN AMERICAN BANCORP INC,37386510,37386510
GLACIER BANCORP INC,37637610,37637Q10
GLACIER BANCORP INC NEW,37637Q10,37637Q10
GREAT SOUTHERN BANCORP INC,39090510,39090510
GREAT WESTERN BANCORP INC,39141610,39141610
GREEN BANCORP INC,39260X10,39260X10
GREENVILLE FIRST BANCSHARES INC,39607Y10,84287310
GUARANTY BANCSHARES INC,40076410,40076410
HANCOCK HOLDING CO,41012010,41012010
HAWTHORN BANCSHARES INC,42047610,42047610
HEARTLAND FINANCIAL USA INC,42234Q10,42234Q10
HERITAGE COMMERCE CORP,42692710,42692710
HERITAGE FINANCIAL CORP WA,42722X10,42722X10
HERITAGE OAKS BANCORP,42724R10,42724R10
HINGHAM INSTITUTION FOR SVGS MA,43332310,43332310
HOPE BANCORP INC,43940T10,43940T10
HORIZON BANCORP IND,44040710,44040710
HOWARD BANCORP INC,44249610,44249610
HUNTINGTON BANCSHARES INC,44615010,44615010
IBERIABANK CORP,45082810,45082810
INDEPENDENT BANK CORP MA,45383610,45383610
INDEPENDENT COMMUNITY BNKSHRS IN,45384Q10,59609410
INDIANA UNITED BANCORP,45514910,56062Y10
INTERNATIONAL BANCSHARES CORP,45904410,45904410
INVESTAR HOLDING CORP,46134L10,46134L10
INVESTORS BANCORP INC,46146P10,46146L10
INVESTORS BANCORP INC NEW,46146L10,46146L10
I S B FINANCIAL CORP LA,45009110,45082810
J P MORGAN CHASE & CO,46625H10,46625H10
JPMORGAN CHASE & CO,46625H10,46625H10
KEARNY FINANCIAL CORP,48716910,48716P10
KEARNY FINANCIAL CORP NEW,48716P10,48716P10
KEYCORP,49326310,49326710
KEYCORP NEW,49326710,49326710
LAKELAND BANCORP INC,51163710,51163710
LAKELAND FINANCIAL CORP,51165610,51165610
L C N B CORP,50181P10,50181P10
LEGACYTEXAS FINANCIAL GROUP INC,52471Y10,52471Y10
LIFE FINANCIAL CORP,53184P10,69478X10
LIFE FINANCIAL CORP,53184P20,69478X10
MACATAWA BANK CORP,55422510,55422510
MAINSOURCE FINANCIAL GROUP INC,56062Y10,56062Y10
M B FINANCIAL INC,55263D10,55264U10
M B FINANCIAL INC NEW,55264U10,55264U10
M B T FINANCIAL CORP,57887710,57887710
MERCANTILE BANK CORP,58737610,58737610
MERCHANTS BANCSHARES INC,58844810,58844810
MERIDIAN BANCORP INC,58958U10,58958U10
MERIDIAN INTERSTATE BANCORP INC,58964Q10,58958U10
META FINANCIAL GROUP INC,59100U10,59100U10
METROPOLITAN BANK HOLDING CORP,59177410,59177410
M F S FINANCIAL INC,55273L10,62845B10
MIDDLEBURG FINANCIAL CORP,59609410,59609410
MID PENN BANCORP INC,59540G10,59540G10
MIDSOUTH BANCORP INC,59803910,59803910
MIDWESTONE FINANCIAL GRP INC NEW,59851110,59851110
M & T BANK CORP,55261F10,55261F10
MUTUALFIRST FINL INC,62845B10,62845B10
NARA BANCORP INC,63080P10,43940T10
NARA BANK NATIONAL ASSOC,63080110,43940T10
N A S B FINANCIAL INC,62896810,62896810
NATIONAL BANK HOLDINGS CORP,63370710,63370710
NATIONAL BANKSHARES INC,63486510,63486510
NATIONSBANK CORP,63858510,06050510
N B T BANCORP INC,62877810,62877810
NEW YORK COMMUNITY BANCORP INC,64944510,64944510
NICOLET BANKSHARES INC,65406E10,65406E10
NORTH AMERICAN SAVINGS BANK FSB,65715610,62896810
NORTHERN TRUST CORP,66585910,66585910
NORTHFIELD BANCORP INC,66611L10,66611T10
NORTHFIELD BANCORP INC DE,66611T10,66611T10
NORTHRIM BANCORP INC,66676210,66676210
NORTHRIM BANK,66676410,66676210
NORTHWEST BANCORP INC PA,66732810,66734010
NORTHWEST BANCSHARES INC,66734010,66734010
NORTHWEST SAVINGS BANK WARREN PA,66779410,66734010
NORWEST CORP,66938010,94974610
NORWOOD FINANCIAL CORP,66954910,66954910
OCEAN FINANCIAL CORP,67490410,67523410
OCEANFIRST FINANCIAL CORP,67523410,67523410
O F G BANCORP,67103X10,67103X10
OLD LINE BANCSHARES,67984M10,67984M10
OLD NATIONAL BANCORP,68003310,68003310
OLD SECOND BANCORP INC,68027710,68027710
ORIENTAL BANK AND TRUST PR,68618510,67103X10
ORIENTAL FEDERAL SAVINGS BANK,68618810,67103X10
ORIENTAL FINANCIAL GROUP INC,68618W10,67103X10
ORITANI FINANCIAL CORP,68632310,68633D10
ORITANI FINANCIAL CORP NEW,68633D10,68633D10
ORRSTOWN FINANCIAL SERVICES INC,68738010,68738010
PACIFIC CENTURY FINANCIAL CORP,69405810,06254010
PACIFIC MERCANTILE BANCORP,69455210,69455210
PACWEST BANCORP DE,69526310,69526310
PARKE BANCORP INC,70088510,70088510
PARKE BANK,70088610,70088510
PARK NATIONAL CORP,70065810,70065810
PARK STERLING BANK,70086W10,70086Y10
PARK STERLING BANK NEW,70086Y10,70086Y10
PEAPACK GLADSTONE FINANCIAL CORP,70469910,70469910
PENNS WOODS BANCORP INC,70843010,70843010
PEOPLES BANCORP INC,70978910,70978910
PEOPLES BANCORP NC INC NEW,71057710,71057710
PEOPLES BANK BRIDGEPORT,71019810,71270410
PEOPLES BANK CATAWBA NC,71021510,71057710
PEOPLES HOLDING CO,71114810,75970E10
PEOPLES UNITED FINANCIAL INC,71270410,71270410
PIKEVILLE NATIONAL CORP,72140010,20414910
PINNACLE FINANCIAL PARTNERS INC,72346Q10,72346Q10
P N C BANK CORP,69347510,69347510
P N C FINANCIAL CORP,69347510,69347510
P N C FINANCIAL SERVICES GRP INC,69347510,69347510
PREMIER FINANCIAL BANCORP INC,74050M10,74050M10
PRIVATEBANCORP INC,74296210,74296210
PROSPERITY BANCSHARES INC,74360610,74360610
PROVIDENT BANCORP INC DE,74383A10,85917A10
PROVIDENT BANCORP INC NY,74383510,85917A10
PROVIDENT FINANCIAL HOLDINGS INC,74386810,74386810
PROVIDENT FINANCIAL SVCS INC,74386T10,74386T10
PROVIDENT NEW YORK BANCORP,74402810,85917A10
Q C R HOLDINGS INC,74727A10,74727A10
QUAD CITY HOLDINGS INC,74730P10,74727A10
QUEENS COUNTY BANCORP INC,74824210,64944510
REGIONS FINANCIAL CORP,75894010,7591EP10
REGIONS FINANCIAL CORP NEW,7591EP10,7591EP10
RENASANT CORP,75970E10,75970E10
REPUBLIC FIRST BANCORP INC,76041610,76041610
ROCKVILLE FINANCIAL INC,77418610,91030410
ROCKVILLE FINANCIAL INC NEW,77418810,91030410
SANDY SPRING BANCORP INC,80036310,80036310
S C B T FINANCIAL CORP,78401V10,84044110
SIERRA BANCORP,82620P10,82620P10
S I FINANCIAL GROUP INC,78425W10,78425V10
S I FINANCIAL GROUP INC MD,78425V10,78425V10
SIGNATURE BANK NEW YORK N Y,82669G10,82669G10
SILICON VALLEY BANCSHARES,82706410,78486Q10
SOUTHERN FIRST BANCSHARES INC,84287310,84287310
SOUTHERN MISSOURI BANCORP INC,84338010,84338010
SOUTHERN NATIONAL BANCORP VA INC,84339510,84339510
SOUTHERN NATIONAL CORP NC,84344410,05493710
SOUTHSIDE BANCSHARES INC,84470P10,84470P10
SOUTH STATE CORP,84044110,84044110
SOUTH UMPQUA BANK,84058410,90421410
SOUTH UMPQUA STATE BANK,84058410,90421410
SOUTHWEST BANCORP INC OKLA,84476710,84476710
STAR STATES CORP,85518010,92932810
STATE BANK FINANCIAL CORP,85619010,85619010
STATE STREET BOSTON CORP,85747310,85747710
STATE STREET CORP,85747710,85747710
S & T BANCORP INC,78385910,78385910
STERLING BANCORP DEL,85917A10,85917A10
STOCK YARDS BANCORP INC,86102510,86102510
STONEGATE BANK,86181110,86181110
SUFFOLK BANCORP,86473910,86473910
SUMMIT FINANCIAL GROUP INC,86606G10,86606G10
SUNTRUST BANKS INC,86791410,86791410
S V B FINANCIAL GROUP,78486Q10,78486Q10
S Y BANCORP INC,78506010,86102510
T C F FINANCIAL CORP,87227510,87227510
TEXAS CAPITAL BANCSHARES INC,88224Q10,88224Q10
TFS FINANCIAL CORP,87240R10,87240R10
TOMPKINS COUNTY TRUSTCO INC,89011010,89011010
TOMPKINS COUNTY TRUST CO NY,89010810,89011010
TOMPKINS FINANCIAL CORP,89011010,89011010
TOMPKINS TRUSTCO INC,89011010,89011010
TOWNEBANK,89214P10,89214P10
TRICO BANCSHARES,89609510,89609510
TRI COUNTY FINANCIAL CORP,89546L10,20368X10
TRUSTCO BANK CORP NY,89834910,89834910
TRUSTMARK CORP,89840210,89840210
U M B FINANCIAL CORP,90278810,90278810
UMPQUA HOLDINGS CORP,90421410,90421410
UNION BANKSHARES CORP,90539910,90539J10
UNION BANKSHARES CORP NEW,90539J10,90539J10
UNION FIRST BAMKSHARES CORP,90662P10,90539J10
UNITED BANKSHARES INC,90990710,90990710
UNITED COMMUNITY FINL CORP OHIO,90983910,90983910
UNITED FINANCIAL BANCORP INC NEW,91030410,91030410
UNITED MISSOURI BANCSHARES INC,91102210,90278810
UNITY BANCORP INC,91329010,91329010
UNIVEST CORP OF PENNSYLVANIA,91527110,91527110
USBANCORP INC PA,91729210,03074A10
VALLEY NATIONAL BANCORP,91979410,91979410
VIEWPOINT FINANCIAL GROUP,92672710,52471Y10
VIEWPOINT FINANCIAL GROUP INC,92672A10,52471Y10
WASHINGTON FEDERAL INC,93882410,93882410
WASHINGTON FEDERAL SVGS & L ASSN,93882810,93882410
WASHINGTONFIRST BANCSHARES INC,94073010,94073010
WASHINGTON TRUST BANCORP INC,94061010,94061010
WATERSTONE FINANCIAL INC,94188810,94188P10
WATERSTONE FINANCIAL INC NEW,94188P10,94188P10
WAUWATOSA HOLDINGS INC,94348P10,94188P10
