Date,minimum,maximum,avg,med,std_dev,iqr,skew,kurt
1993Q2,0,0.996688199981331,0.5961480337111466,0.5496676826549792,0.26682155043304834,0.39504993347534745,-0.14310017853758036,2.2984048958391514
1993Q3,0,0.9984147837401631,0.5087604871546834,0.46430270725789735,0.31112329296344265,0.5530078881625984,0.1196019395456038,1.7251331103558487
1993Q4,0,0.9632919074137651,0.5142592416491776,0.5085322355222937,0.28655694636307916,0.4498062437071192,0.03713891697137651,1.9691083066427018
1994Q1,0,0.9874932060660007,0.5400652021717993,0.5344444737637608,0.2946881623579299,0.4467692727882383,-0.10053455596519872,1.8824926115051934
1994Q2,0.004835494768573478,0.9523273477238988,0.52534840238835,0.5202923172110507,0.28903838344401717,0.46421184327351905,-0.05617458803281236,1.932677008945913
1994Q3,0,0.9864153788166066,0.5363596330312227,0.4716060932638039,0.2873445400796692,0.44925090219052677,0.13080664133976896,1.9071894681950912
1994Q4,0,0.9955987496593588,0.5403751708754456,0.48213376148503706,0.29561172540648945,0.513135511261068,0.009401918993939907,1.8930822131619944
1995Q1,0.05625175642739921,0.9890587388100539,0.5581694073448282,0.543761686597264,0.2776783284668217,0.4424757363724119,9.922974556446464e-4,1.744009163208232
1995Q2,0,0.993358907363457,0.5290222938431586,0.5063898983238682,0.2835726727217697,0.4420045360483684,-0.08187970006026972,1.95030465652522
1995Q3,0,0.9902419896336166,0.4444452263999667,0.47292679498792733,0.2787057737242129,0.41719083980031346,0.03032704071063966,2.011646712351306
1995Q4,0.08034189903562006,0.9852272147828627,0.5328073255028306,0.5409600944839819,0.2507288240615534,0.4233835218928655,0.04941894795344015,1.9137126006328853
1996Q1,0.015464078289693872,0.9794404512618271,0.5425748693411765,0.5603401840541282,0.2539518528903919,0.4255551778988472,-0.1480343244697743,1.9407674172465987
1996Q2,0,0.9672819110826371,0.5369436716088611,0.5593597001990906,0.28689344553258456,0.5163989104896116,-0.13974326526424488,1.7878176015457468
1996Q3,0,0.9873597622367832,0.5602148797029518,0.5625992470871988,0.24659146398066384,0.29850534920179217,-0.35082487523242045,2.4956677254152138
1996Q4,0,0.9703799251529389,0.4875377417940164,0.48421515344539146,0.2896800009499474,0.46884276188762497,0.03650685755267753,1.885849815232668
1997Q1,0,0.9486023575579273,0.5135341696091557,0.5115235375530096,0.2806995664671117,0.488469406326942,-0.08922429343079741,1.7819008310887916
1997Q2,0,0.9349293681042711,0.5024225736516608,0.5645573724404859,0.2608367422737774,0.4296063377896696,-0.3235026911553015,1.8928514788289557
1997Q3,0,0.9610097297513851,0.5154588649463957,0.538239266641164,0.25360632723589166,0.39939602904969507,-0.3575494382951135,2.1195693391511417
1997Q4,0,0.9718832113227632,0.5111385064055622,0.5308462774452373,0.24991829107972316,0.3733610029723733,-0.27608533508309296,2.3893539695836052
1998Q1,0,0.9149052219383031,0.4620709611310551,0.49546848721143666,0.25235526728588037,0.38292334250869964,-0.122908187147301,2.039612099845355
1998Q2,0,0.9042842069792343,0.4712029237286005,0.5038621873059036,0.22736179337799436,0.3359795071447124,-0.16841061876685337,2.181733253948546
1998Q3,0,0.9147155027655356,0.5361221687647276,0.5751974490505332,0.21583563872662018,0.30535966260657066,-0.5521451914516943,2.6203831639317268
1998Q4,0,0.9508817180890641,0.49958736018458216,0.4920995650713089,0.2226923926885915,0.3472542368607362,-0.11731394142008882,2.022446674208581
1999Q1,0,0.9747451260273129,0.4456527114112799,0.4285149283125226,0.23832235108616462,0.34532943675873473,0.061928876537580724,2.3469443718580396
1999Q2,0,0.9660909321998548,0.42291052941142765,0.42759403770035664,0.22553015881586327,0.29849364665805167,0.21736652411178928,2.590497070120046
1999Q3,0,0.8916446993189702,0.40433329241588123,0.38225991109332175,0.23346054943707142,0.32931986519647,0.03835028507799174,2.1833091594657796
1999Q4,0,0.9601435607091507,0.4354565330539206,0.46603079824882476,0.27280820464369926,0.4590502399671271,-0.09021298219260154,1.813582342455253
2000Q1,0,0.9701273373736958,0.4608314956164659,0.4944329599160098,0.27094273350770887,0.46297084064001554,-0.18150988040855723,1.8841073769567218
2000Q2,0,0.9219346973688647,0.47910773883357743,0.4808597793780406,0.2412718289916763,0.3815625335049905,-0.18063437294335857,2.0999891795441883
2000Q3,0,0.9544111545133489,0.4530114087261936,0.45353412128998793,0.2372024219097843,0.3599595577195043,-0.12287635303535918,2.180477506123745
2000Q4,0,0.9483994024038421,0.4611338919481034,0.49573236593082126,0.24096298025031015,0.36765431329680054,-0.1419040034889622,2.1855627618846496
2001Q1,0,0.9654609129643792,0.5263289730821221,0.5798667000116617,0.25589722685565347,0.3160865690988859,-0.623643793998849,2.470462864786851
2001Q2,0,0.9414895476583118,0.4528184462426525,0.4650038756295328,0.2306154064201871,0.3582908339476595,-0.19957285429317437,2.2846785209456058
2001Q3,0,0.8825651864419171,0.47770889891782436,0.48229314190767925,0.22151566476429624,0.3264072945412181,-0.2615395666230496,2.3029222611352766
2001Q4,0,0.859054206355026,0.4846758878028986,0.5145606535804729,0.23998364184514034,0.32420871473613,-0.47689941134605063,2.3587642339765975
2002Q1,0,0.8771251343514321,0.4449398491869364,0.481216925376021,0.23905658642838687,0.3811692329655191,-0.3000379996225671,2.0839226761236653
2002Q2,0,0.8784819806464026,0.47537377538359943,0.5152602369846161,0.22317190787432512,0.33257542460692335,-0.5165617740663698,2.465986300410181
2002Q3,0,0.9132432233015009,0.5605569314564188,0.5807520200992262,0.2147976548308693,0.3460696522062009,-0.5272892912872582,2.606544302772016
