comnam,ncusip,cusip_8,siccd
VALLEY NATIONAL BANCORP,91979410,91979410,6162
VIEWPOINT FINANCIAL GROUP,92672710,52471Y10,6035
VIEWPOINT FINANCIAL GROUP INC,92672A10,52471Y10,6035
WASHINGTON FEDERAL INC,93882410,93882410,6712
WASHINGTON FEDERAL INC,93882410,93882410,6035
WASHINGTON FEDERAL SVGS & L ASSN,93882810,93882410,6030
WASHINGTONFIRST BANCSHARES INC,94073010,94073010,6022
WASHINGTON TRUST BANCORP INC,94061010,94061010,6710
WASHINGTON TRUST BANCORP INC,94061010,94061010,6020
WATERSTONE FINANCIAL INC,94188810,94188P10,6035
WATERSTONE FINANCIAL INC NEW,94188P10,94188P10,6035
WAUWATOSA HOLDINGS INC,94348P10,94188P10,6035
WEBSTER FINANCIAL CORP,94789010,94789010,6710
WEBSTER FINANCIAL CORP,94789010,94789010,6030
WEBSTER FINANCIAL CORP,94789010,94789010,6035
WEBSTER FINANCIAL CORP,94789010,94789010,6021
WELLS FARGO & CO NEW,94974610,94974610,6021
WELLS FARGO & CO NEW,94974610,94974610,6022
WESBANCO INC,95081010,95081010,6710
WESBANCO INC,95081010,95081010,6020
WESTAMERICA BANCORPORATION,95709010,95709010,6025
WESTAMERICA BANCORPORATION,95709010,95709010,6060
WESTAMERICA BANCORPORATION,95709010,95709010,6020
WEST BANCORPORATION INC,95123P10,95123P10,6022
WESTERN ALLIANCE BANCORPORATION,95763810,95763810,6022
WESTERN ALLIANCE BANCORPORATION,95763810,95763810,6029
WESTERN NEW ENGLAND BANCORP INC,95889210,95889210,6035
WESTFIELD FINANCIAL INC,96008D10,95889210,6035
WESTFIELD FINANCIAL INC,96008D10,95889210,6712
WESTFIELD FINANCIAL INC,96008P10,95889210,6035
WESTFIELD FINANCIAL INC NEW,96008P10,95889210,6712
WINTRUST FINANCIAL CORPORATION,97650W10,97650W10,6710
WINTRUST FINANCIAL CORPORATION,97650W10,97650W10,6020
WSFS FINANCIAL CORP,92932810,92932810,6020
WSFS FINANCIAL CORP,92932810,92932810,6710
YADKIN FINANCIAL CORP,98430510,98430510,6022
YADKIN VALLEY BANK & TRUST CO,98430810,98430510,6010
YADKIN VALLEY BANK & TRUST CO,98430810,98430510,6020
YADKIN VALLEY FINANCIAL CORP,98431410,98430510,6022
ZIONS BANCORPORATION,98970110,98970110,6711
ZIONS BANCORPORATION,98970110,98970110,6020
