comnam,ncusip,cusip_8,siccd
COLUMBIA BANKING SYSTEM INC,19723610,19723610,6030
COMERICA INC,20034010,20034010,6712
COMERICA INC,20034010,20034010,6021
COMMERCE BANCSHARES INC,20052510,20052510,6711
COMMUNITY BANK SYSTEM INC,20360710,20360710,6710
COMMUNITY BANK SYSTEM INC,20360710,20360710,6021
COMMUNITY BANK SYSTEM INC,20360710,20360710,6035
COMMUNITY FINANCIAL CORP MD,20368X10,20368X10,6022
COMMUNITY TRUST BANCORP INC,20414910,20414910,6710
COMMUNITY TRUST BANCORP INC,20414910,20414910,6020
CONNECTONE BANCORP INC NEW,20786W10,20786W10,6021
C U BANCORP NEW,12653410,12653410,6022
CULLEN FROST BANKERS INC,22989910,22989910,6711
CULLEN FROST BANKERS INC,22989910,22989910,6021
CULLEN FROST BANKERS INC,22989910,22989910,6712
CUSTOMERS BANCORP INC,23204G10,23204G10,6021
CUSTOMERS BANCORP INC,23204G10,23204G10,6022
C V B FINANCIAL CORP,12660010,12660010,6022
DIME COMMUNITY BANCORP INC,25392210,25392210,6030
DIME COMMUNITY BANCSHARES,25392210,25392210,6030
D N B FINANCIAL CORP,23323710,23323710,6712
EAGLE BANCORP INC,26894810,26894810,6020
EASTERN VIRGINIA BANKSHARES INC,27719610,27719610,6020
EAST WEST BANCORP INC,27579R10,27579R10,6710
EAST WEST BANCORP INC,27579R10,27579R10,6020
ENTERPRISE BANCORP INC,29366810,29366810,6712
ENTERPRISE FINANCIAL SVCS CORP,29371210,29371210,6712
E S S A BANCORP INC,29667D10,29667D10,6712
EVERBANK FINANCIAL CORP,29977G10,29977G10,6029
EVERBANK FINANCIAL CORP,29977G10,29977G10,6035
EXCHANGE NATIONAL BANCSHARES INC,30130910,42047610,6021
EXECUFIRST BANCORP INC,30150710,76041610,6710
FARMERS CAPITAL BANK CORP,30956210,30956210,6710
FARMERS CAPITAL BANK CORP,30956210,30956210,6020
FARMERS NATIONAL BANC CORP,30962710,30962710,6022
F C B FINANCIAL HOLDINGS INC,30255G10,30255G10,6712
FIDELITY NATIONAL CORP GA,31632010,31639410,6710
FIDELITY NATIONAL CORP GA,31632010,31639410,6020
FIDELITY SOUTHERN CORP,31639610,31639410,6710
FIDELITY SOUTHERN CORP NEW,31639410,31639410,6020
FIDELITY SOUTHERN CORP NEW,31639410,31639410,6021
FIFTH THIRD BANCORP,31677310,31677310,6711
FIRST ALABAMA BANCSHARES INC,31846410,7591EP10,6711
FIRST BANCORP INC ME,31866P10,31866P10,6021
FIRST BANCORP NC,31891010,31891010,6710
FIRST BANCORP NC,31891010,31891010,6020
FIRST BANCSHARES INC MS,31891610,31891610,6021
FIRST BANK,31931U10,31931U10,6022
FIRST BUSINESS FINL SVCS INC,31939010,31939010,6021
FIRST CITIZENS BANC CORP,31945920,17886710,6022
FIRST CITIZENS BANCSHARES INC NC,31946M10,31946M10,6710
FIRST CITIZENS BANCSHARES INC NC,31946M10,31946M10,6020
FIRST COMMONWEALTH FINANCIAL COR,31982910,31982910,6712
FIRST COMMONWEALTH FINANCIAL COR,31982910,31982910,6022
FIRST COMMONWEALTH FINANCIAL COR,31982910,31982910,6021
FIRST COMMUNITY BANCORP,31983B10,69526310,6712
FIRST COMMUNITY BANCSHARES INC,31983A10,31983A10,6712
FIRST COMMUNITY BANCSHARES INC,31983A10,31983A10,6021
FIRST DEFIANCE FINANCIAL CORP,32006W10,32006W10,6030
FIRST EMPIRE STATE CORP,32007610,55261F10,6025
FIRST FEDERAL BANCSHARES ARK INC,32020F10,07384410,6710
FIRST FEDERAL BANCSHARES ARK INC,32020F10,07384410,6030
FIRST FEDERAL BANCSHARES ARK INC,32020F30,07384410,6035
FIRST FEDERAL SVGS & LN DEF OH,32018S10,32006W10,6030
FIRST FINANCIAL BANCORP OHIO,32020910,32020910,6711
FIRST FINANCIAL BANCORP OHIO,32020910,32020910,6020
FIRST FINANCIAL BANKSHARES INC,32020R10,32020R10,6710
FIRST FINANCIAL BANKSHARES INC,32020R10,32020R10,6020
FIRST FINANCIAL CORP IN,32021810,32021810,6060
FIRST FINANCIAL CORP IN,32021810,32021810,6020
FIRST FINANCIAL HOLDINGS INC NEW,32023E10,84044110,6022
FIRST FINANCIAL NORTHWEST INC,32022K10,32022K10,6022
FIRST HORIZON NATIONAL CORP,32051710,32051710,6022
FIRST HORIZON NATIONAL CORP,32051710,32051710,6021
FIRST INTERNET BANCORP,32055710,32055710,6022
FIRST LONG ISLAND CORP,32073410,32073410,6710
FIRST LONG ISLAND CORP,32073410,32073410,6020
FIRST MERCHANTS CORP,32081710,32081710,6710
FIRST MERCHANTS CORP,32081710,32081710,6020
FIRST MID ILLINOIS BANCSHRS INC,32086610,32086610,6022
FIRST MIDWEST BANCORP DE,32086710,32086710,6711
FIRST MIDWEST BANCORP DE,32086710,32086710,6020
FIRST MIDWEST FINANCIAL INC,32087810,59100U10,6030
FIRST MIDWEST FINANCIAL INC,32087810,59100U10,6710
FIRST MIDWEST FINANCIAL INC,32087810,59100U10,6020
FIRST NATIONAL CORP ORANGEBURG,32094210,84044110,6211
FIRST NATIONAL CORP ORANGEBURG,32094210,84044110,6021
FIRST NATIONAL LINCOLN CORP ME,33571610,31866P10,6020
FIRST PACTRUST BANCORP INC,33589V10,05990K10,6035
FIRST REPUBLIC BANCORP INC NEW,33615710,76041610,6710
FIRST REPUBLIC BANK S F NEW,33616C10,33616C10,6022
FIRST REPUBLIC BANK S F NEW,33616C10,33616C10,6282
FIRST TENNESSEE NATIONAL CORP,33716210,32051710,6711
FIRST TENNESSEE NATIONAL CORP,33716210,32051710,6021
FIRST TENNESSEE NATIONAL CORP,33716210,32051710,6022
FIRST UNITED CORP,33741H10,33741H10,6710
FIRST UNITED CORP,33741H10,33741H10,6020
FLUSHING FINANCIAL CORP,34387310,34387310,6710
FLUSHING FINANCIAL CORP,34387310,34387310,6030
F N B CORP PA,30252010,30252010,6710
F N B CORP PA,30252010,30252010,6020
F N B CORP PA,30252010,30252010,6022
F N B CORP PA,30252010,30252010,6021
FRANKLIN FINANCIAL NETWORK INC,35352P10,35352P10,6712
FRANKLIN FINANCIAL NETWORK INC,35352P10,35352P10,6022
FULTON FINANCIAL CORP PA,36027110,36027110,6710
FULTON FINANCIAL CORP PA,36027110,36027110,6020
G A B BANCORP,36133410,37386510,6710
GERMAN AMERICAN BANCORP,37386510,37386510,6710
GERMAN AMERICAN BANCORP,37386510,37386510,6020
GERMAN AMERICAN BANCORP INC,37386510,37386510,6020
GLACIER BANCORP INC,37637610,37637Q10,6020
GLACIER BANCORP INC NEW,37637Q10,37637Q10,6020
GLACIER BANCORP INC NEW,37637Q10,37637Q10,6030
GREAT SOUTHERN BANCORP INC,39090510,39090510,6710
GREAT SOUTHERN BANCORP INC,39090510,39090510,6030
GREAT WESTERN BANCORP INC,39141610,39141610,6035
GREEN BANCORP INC,39260X10,39260X10,6021
GREENVILLE FIRST BANCSHARES INC,39607Y10,84287310,6021
GUARANTY BANCSHARES INC,40076410,40076410,6710
GUARANTY BANCSHARES INC,40076410,40076410,6020
HANCOCK HOLDING CO,41012010,41012010,6710
HANCOCK HOLDING CO,41012010,41012010,6020
HAWTHORN BANCSHARES INC,42047610,42047610,6021
HEARTLAND FINANCIAL USA INC,42234Q10,42234Q10,6022
HERITAGE COMMERCE CORP,42692710,42692710,6710
HERITAGE COMMERCE CORP,42692710,42692710,6020
HERITAGE FINANCIAL CORP WA,42722X10,42722X10,6030
HERITAGE OAKS BANCORP,42724R10,42724R10,6022
HINGHAM INSTITUTION FOR SVGS MA,43332310,43332310,6030
HOPE BANCORP INC,43940T10,43940T10,6021
HORIZON BANCORP IND,44040710,44040710,6710
HOWARD BANCORP INC,44249610,44249610,6022
HUNTINGTON BANCSHARES INC,44615010,44615010,6711
HUNTINGTON BANCSHARES INC,44615010,44615010,6020
IBERIABANK CORP,45082810,45082810,6036
INDEPENDENT BANK CORP MA,45383610,45383610,6710
INDEPENDENT BANK CORP MA,45383610,45383610,6020
INDEPENDENT COMMUNITY BNKSHRS IN,45384Q10,59609410,6021
INDIANA UNITED BANCORP,45514910,56062Y10,6710
INDIANA UNITED BANCORP,45514910,56062Y10,6020
INTERNATIONAL BANCSHARES CORP,45904410,45904410,6020
INVESTAR HOLDING CORP,46134L10,46134L10,6022
INVESTORS BANCORP INC,46146P10,46146L10,6712
INVESTORS BANCORP INC NEW,46146L10,46146L10,6712
I S B FINANCIAL CORP LA,45009110,45082810,6710
I S B FINANCIAL CORP LA,45009110,45082810,6030
J P MORGAN CHASE & CO,46625H10,46625H10,6021
J P MORGAN CHASE & CO,46625H10,46625H10,6712
JPMORGAN CHASE & CO,46625H10,46625H10,6021
JPMORGAN CHASE & CO,46625H10,46625H10,6726
JPMORGAN CHASE & CO,46625H10,46625H10,6712
JPMORGAN CHASE & CO,46625H10,46625H10,6211
JPMORGAN CHASE & CO,46625H10,46625H10,6099
KEARNY FINANCIAL CORP,48716910,48716P10,6035
KEARNY FINANCIAL CORP NEW,48716P10,48716P10,6035
KEYCORP,49326310,49326710,6711
KEYCORP NEW,49326710,49326710,6021
LAKELAND BANCORP INC,51163710,51163710,6710
LAKELAND FINANCIAL CORP,51165610,51165610,6020
L C N B CORP,50181P10,50181P10,6021
LEGACYTEXAS FINANCIAL GROUP INC,52471Y10,52471Y10,6035
LIFE FINANCIAL CORP,53184P10,69478X10,6030
LIFE FINANCIAL CORP,53184P20,69478X10,6035
MACATAWA BANK CORP,55422510,55422510,6710
